run,sample_size,model,mae,mse,mae_s,mse_s
results/pedagogical_sample100_DAPINN,100,DAPINN,0.00016424421781025477,3.814043281607139e-08,0.003923436420367987,2.3359768443505986e-05
results/pedagogical_sample100_PINN,100,PINN,0.0008628347313063487,8.392715242764833e-07,,
results/pedagogical_sample10_DAPINN,10,DAPINN,0.00026626169302578276,1.0992904530405804e-07,0.0035465204310215818,1.7419869555253208e-05
results/pedagogical_sample10_PINN,10,PINN,0.0009287469588317864,1.3921632821684196e-06,,
results/pedagogical_sample200_DAPINN,200,DAPINN,0.00016181770414945177,3.7737896320300946e-08,0.003189732948359581,1.8497118435571808e-05
results/pedagogical_sample200_PINN,200,PINN,0.0008483463304333676,8.179490465541039e-07,,
results/pedagogical_sample25_DAPINN,25,DAPINN,0.0003939141172679724,1.9671006948341195e-07,0.006595559753657316,5.797562328678793e-05
results/pedagogical_sample25_PINN,25,PINN,0.0009653292158666286,1.2032679994077882e-06,,
results/pedagogical_sample50_DAPINN,50,DAPINN,0.0001639550701222904,3.8634203884045444e-08,0.0031972870871761097,1.81955013413573e-05
results/pedagogical_sample50_PINN,50,PINN,0.0008764722325965198,1.1936113182088238e-06,,
